Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm)
Zhang Xiaoguang,China,Man,Shenzhou 10 (2013),1,014:14:28
Zhai Zhigang,China,Man,Shenzhou 7 (2008),1,002:20:26
Yury Usachov,Russia,Man,"Soyuz TM-18 (1994), Soyuz TM-23 (1996), STS-101 (2000), STS-102 (2001)",4,552:22:24
Yuri Shargin,Russia,Man,Soyuz TMA-5 (2004),1,009:21:29
Yuri Romanenko,Soviet Union,Man,"Soyuz 26 (1977), Soyuz 38 (1980), Soyuz TM-2 (1987)",3,430:18:21
Yuri Onufrienko,Russia,Man,"Soyuz TM-23 (1996), STS-108 (2001)",2,389:14:46
Yuri Malyshev,Soviet Union,Man,"Soyuz T-2 (1980), Soyuz T-11 (1984)",2,011:20:00
Yuri Malenchenko,Russia,Man,"Soyuz TM-19 (1994), STS-106 (2000), Soyuz TMA-2 (2003), Soyuz TMA-11 (2007), Soyuz TMA-05M (2012), Soyuz TMA-19M (2015)",6,826:09:22
Yuri Lonchakov,Russia,Man,"STS-100 (2001), Soyuz TMA-1 (2002), Soyuz TMA-13 (2008)",3,200:18:39
Yuri Glazkov,Soviet Union,Man,Soyuz 24 (1977),1,017:17:27
Yuri Gidzenko,Russia,Man,"Soyuz TM-22 (1995), Soyuz TM-31 (2000), Soyuz TM-34 (2002)",3,329:22:47
Yuri Gagarin,Soviet Union,Man,Vostok 1 (1961),1,000:01:48
Yuri Baturin,Russia,Man,"Soyuz TM-28 (1998), Soyuz TM-32 (2001)",2,019:17:45
Yuri Artyukhin,Soviet Union,Man,Soyuz 14 (1974),1,015:17:30
Yi So-yeon,South Korea,Woman,Soyuz TMA-12 (2008),1,010:21:13
Yevgeny Khrunov,Soviet Union,Man,Soyuz 5 (1969),1,001:23:45
Yelena Serova,Russia,Woman,Soyuz TMA-14M (2014),1,167:05:42
Yelena Kondakova,Russia,Woman,"Soyuz TM-20 (1994), STS-84 (1997)",2,178:09:41
Yang Liwei,China,Man,Shenzhou 5 (2003),1,000:21:22
Wubbo Ockels,Netherlands,Man,STS-61-A (1985),1,007:00:44
Wang Yaping,China,Man,Shenzhou 10 (2013),1,014:14:28
Vyacheslav Zudov,Soviet Union,Man,Soyuz 23 (1976),1,002:00:06
Vladislav Volkov,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 11 (1971)",2,028:20:02
Vladimír Remek,Czechoslovakia,Man,Soyuz 28 (1978),1,007:22:16
Vladimir Vasyutin,Soviet Union,Man,Soyuz T-14 (1985),1,064:21:52
Vladimir Titov,Soviet Union,Man,"Soyuz T-8 (1983), Soyuz TM-4 (1987), STS-63 (1995), STS-86 (1997)",4,388:00:45
Vladimir Solovyov,Soviet Union,Man,"Soyuz T-10 (1984), Soyuz T-15 (1986)",2,361:22:50
Vladimir Shatalov,Soviet Union,Man,"Soyuz 4 (1969), Soyuz 8 (1969), Soyuz 10 (1971)",3,009:21:57
Vladimir N. Dezhurov,Russia,Man,Soyuz TM-21 (1995),1,115:08:43
Vladimir Lyakhov,Soviet Union,Man,"Soyuz 32 (1979), Soyuz T-9 (1983), Soyuz TM-6 (1988)",3,333:07:48
Vladimir Kovalyonok,Soviet Union,Man,"Soyuz 25 (1977), Soyuz 29 (1978), Soyuz T-4 (1981)",3,216:09:09
Vladimir Komarov,Soviet Union,Man,"Voskhod 1 (1964), Soyuz 1 (1967)",2,002:03:04
Vladimir Dzhanibekov,Soviet Union,Man,"Soyuz 27 (1978), Soyuz 39 (1981), Soyuz T-6 (1982), Soyuz T-12 (1984), Soyuz T-13 (1985)",5,145:15:58
Vladimir Aksyonov,Soviet Union,Man,"Soyuz 22 (1976), Soyuz T-2 (1980)",2,011:20:11
Vitaliy Zholobov,Soviet Union,Man,Soyuz 21 (1976),1,049:06:23
Vitali Sevastyanov,Soviet Union,Man,"Soyuz 9 (1970), Soyuz 18 (1975)",2,080:16:19
Viktor Savinykh,Soviet Union,Man,"Soyuz T-4 (1981), Soyuz T-13 (1985)",2,242:21:28
Viktor Patsayev,Soviet Union,Man,Soyuz 11 (1971),1,023:21:21
Viktor M. Afanasyev,Russia,Man,"Soyuz TM-11 (1990), Soyuz TM-18 (1994), Soyuz TM-29 (1999), Soyuz TM-33 (2001)",4,555:18:34
Viktor Gorbatko,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 24 (1977), Soyuz 37 (1980)",3,030:12:49
Vasili Tsibliyev,Russia,Man,"Soyuz TM-17 (1993), Soyuz TM-25 (1997)",2,381:15:53
Vasili Lazarev,Soviet Union,Man,"Soyuz 12 (1973), Soyuz 18-1 (1975)",2,001:23:36
Valery Tokarev,Russia,Man,"STS-96 (1999), Soyuz TMA-7 (2005)",2,199:11:06
Valery Ryumin,Soviet Union,Man,"Soyuz 25 (1977), Soyuz 32 (1979), Soyuz 35 (1980), STS-91 (1998)",4,371:17:25
Valery Rozhdestvensky,Soviet Union,Man,Soyuz 23 (1976),1,002:00:06
Valery Korzun,Russia,Man,"Soyuz TM-24 (1996), STS-111 (2002)",2,381:15:41
Valery Bykovsky,Soviet Union,Man,"Vostok 5 (1963), Soyuz 22 (1976), Soyuz 31 (1978)",3,020:17:48
"Valeri Polyakov, M.D.",Russia,Man,"Soyuz TM-6 (1988), Soyuz TM-18 (1994)",2,678:16:33
Valeri Kubasov,Soviet Union,Man,"Soyuz 6 (1969), Soyuz 19 (1975), Soyuz 36 (1980)",3,018:17:58
Valentina Tereshkova,Soviet Union,Woman,Vostok 6 (1963),1,002:22:50
Valentin Lebedev,Soviet Union,Man,"Soyuz 13 (1973), Soyuz T-5 (1982)",2,219:06:00
Umberto Guidoni,Italy,Man,"STS-75 (1996), STS-100 (2001)",2,027:15:11
Ulrich Walter,Germany,Man,STS-55 (1993),1,009:23:40
Ulf Merbold,Germany,Man,"STS-9 (1983), STS-42 (1992), Soyuz TM-20 (1994)",3,049:20:38
Toktar Aubakirov,Soviet Union,Man,Soyuz TM-13 (1991),1,007:22:12
Timothy Peake,United Kingdom,Man,Soyuz TMA-19M (2015),1,185:22:11
Thomas Reiter,Germany,Man,"Soyuz TM-22 (1995), STS-121 (2006)",2,350:05:35
Thomas Pesquet,France,Man,"Soyuz MS-03 (2016), SpaceX Crew-2 (2021)",2,1808:00:40
Talgat Musabayev,Kazakhstan,Man,"Soyuz TM-19 (1994), Soyuz TM-27 (1998), Soyuz TM-32 (2001)",3,341:09:48
Takuya Onishi,Japan,Man,Soyuz MS-01 (2016),1,115:02:22
Takao Doi,Japan,Man,"STS-87 (1997), STS-123 (2008)",2,031:10:46
Svetlana Savitskaya,Soviet Union,Woman,"Soyuz T-7 (1982), Soyuz T-12 (1984)",2,019:17:07
Sultan bin Salman bin Abdulaziz Al Saud,Saudi Arabia,Man,STS-51-G (1985),1,007:01:38
Steven MacLean,Canada,Man,"STS-52 (1992), STS-115 (2006)",2,021:14:06
Soichi Noguchi,Japan,Man,"STS-114 (2005), Soyuz TMA-17 (2009), SpaceX Crew-1 (2020)",3,344:09:34
Sigmund Jähn,East Germany,Man,Soyuz 31 (1978),1,007:20:49
"Sheikh Muszaphar Shukor, M.D.",Malaysia,Man,Soyuz TMA-11 (2007),1,010:21:13
Sergey Volkov,Russia,Man,"Soyuz TMA-12 (2008), Soyuz TMA-02M (2011), Soyuz TMA-18M (2015)",3,547:22:22
Sergey Prokopyev,Russia,Man,Soyuz MS-09 (2018),1,196:12:43
Sergey Nikolayevich Ryzhikov,Russia,Man,"Soyuz MS-02 (2016), Soyuz MS-17 (2020)",2,358:02:24
Sergey Kud-Sverchkov,Russia,Man,Soyuz MS-17 (2020),1,184:23:09
Sergei Zalyotin,Russia,Man,"Soyuz TM-30 (2000), Soyuz TMA-1 (2002)",2,083:16:35
Sergei Treshchov,Russia,Man,STS-111 (2002),1,184:22:15
Sergei Ryazanski,Russia,Man,"Soyuz TMA-10M (2013), Soyuz MS-05 (2017)",2,304:23:22
Sergei Revin,Russia,Man,Soyuz TMA-04M (2012),1,124:23:51
Sergei Krikalev,Russia,Man,"Soyuz TM-7 (1988), Soyuz TM-12 (1991), STS-60 (1994), STS-88 (1998), Soyuz TM-31 (2000), Soyuz TMA-6 (2005)",6,803:09:39
Sergei Avdeyev,Russia,Man,"Soyuz TM-15 (1992), Soyuz TM-22 (1995)",2,367:23:23
Satoshi Furukawa,Japan,Man,Soyuz TMA-02M (2011),1,167:06:14
Samantha Cristoforetti,Italy,Woman,Soyuz TMA-15M (2014),1,199:16:42
Salizhan Sharipov,Russia,Man,"STS-89 (1998), Soyuz TMA-5 (2004)",2,201:14:49
Roman Romanenko,Russia,Man,"Soyuz TMA-15 (2009), Soyuz TMA-07M (2012)",2,333:11:00
Rodolfo Neri Vela,Mexico,Man,STS-61-B (1985),1,006:21:04
Roberto Vittori,Italy,Man,"Soyuz TM-34 (2002), Soyuz TMA-6 (2005), STS-134 (2011)",3,035:12:25
"Roberta Bondar, M.D.",Canada,Woman,STS-42 (1992),1,008:01:14
"Robert Thirsk, M.D.",Canada,Man,"STS-78 (1996), Soyuz TMA-15 (2009)",2,204:18:30
Reinhold Ewald,Germany,Man,Soyuz TM-25 (1997),1,019:16:34
Reinhard Furrer,Germany,Man,STS-61-A (1985),1,007:00:44
Rakesh Sharma,India,Man,Soyuz T-11 (1984),1,007:21:40
Pyotr Dubrov,Russia,Man,Soyuz MS-18 (2021),1,1625:08:54
Phạm Tuân,Vietnam,Man,Soyuz 37 (1980),1,007:20:41
"Philippe Perrin, EAC",France,Man,STS-111 (2002),1,013:20:35
Petr Klimuk,Soviet Union,Man,"Soyuz 13 (1973), Soyuz 18 (1975), Soyuz 30 (1978)",3,078:18:18
Pedro Duque,Spain,Man,"STS-95 (1998), Soyuz TMA-3 (2003)",2,018:18:46
Pavel Vinogradov,Russia,Man,"Soyuz TM-26 (1997), Soyuz TMA-8 (2006), Soyuz TMA-08M (2013)",3,546:22:32
Pavel Popovich,Soviet Union,Man,"Vostok 4 (1962), Soyuz 14 (1974)",2,018:16:26
Pavel Belyayev,Soviet Union,Man,Voskhod 2 (1965),1,001:02:02
Patrick Baudry,France,Man,STS-51-G (1985),1,007:01:38
Paolo A. Nespoli,Italy,Man,"STS-120 (2007), Soyuz TMA-20 (2010), Soyuz MS-05 (2017)",3,313:02:37
Oleg Skripochka,Russia,Man,"Soyuz TMA-01M (2010), Soyuz TMA-20M (2016), Soyuz MS-15 (2019)",3,536:03:48
Oleg Novitskiy,Russia,Man,"Soyuz TMA-06M (2012), Soyuz MS-03 (2016), Soyuz MS-18 (2021)",3,1965:19:07
Oleg Makarov,Soviet Union,Man,"Soyuz 12 (1973), Soyuz 18-1 (1975), Soyuz 27 (1978), Soyuz T-3 (1980)",4,020:17:43
Oleg Kotov,Russia,Man,"Soyuz TMA-10 (2007), Soyuz TMA-17 (2009), Soyuz TMA-10M (2013)",3,526:05:03
Oleg Kononenko,Russia,Man,"Soyuz TMA-12 (2008), Soyuz TMA-03M (2011), Soyuz TMA-17M (2015), Soyuz MS-11 (2018)",4,736:18:43
Oleg Atkov,Soviet Union,Man,Soyuz T-10 (1984),1,236:22:49
Oleg Artemyev,Russia,Man,"Soyuz TMA-12M (2014), Soyuz MS-08 (2018)",2,364:23:05
Norishige Kanai,Japan,Man,Soyuz MS-07 (2017),1,168:05:18
Niè Hǎishèng,China,Man,"Shenzhou 6 (2005), Shenzhou 10 (2013)",2,019:10:01
Nikolay Rukavishnikov,Soviet Union,Man,"Soyuz 10 (1971), Soyuz 16 (1974), Soyuz 33 (1979)",3,009:21:10
Nikolai Budarin,Russia,Man,"STS-71 (1995), Soyuz TM-27 (1998), STS-113 (2002)",3,445:01:26
Naoko Yamazaki,Japan,Woman,STS-131 (2010),1,015:02:47
Musa Manarov,Soviet Union,Man,"Soyuz TM-4 (1987), Soyuz TM-11 (1990)",2,541:00:29
Muhammed Faris,Syria,Man,Soyuz TM-3 (1987),1,007:23:04
Miroslaw Hermaszewski,Poland,Man,Soyuz 30 (1978),1,007:22:02
Mikhail Tyurin,Russia,Man,"STS-105 (2001), Soyuz TMA-9 (2006), Soyuz TMA-11M (2013)",3,532:02:52
Mikhail Korniyenko,Russia,Man,"Soyuz TMA-18 (2010), Soyuz TMA-16M (2015)",2,516:10:01
"Michel Tognini, EAC",France,Man,"Soyuz TM-15 (1992), STS-93 (1999)",2,018:17:45
Michael Foale,United Kingdom,Man,"STS-45 (1992), STS-56 (1993), STS-63 (1995), STS-84 (1997), STS-103 (1999), Soyuz TMA-3 (2003)",6,374:17:17
Maurizio Cheli,Italy,Man,STS-75 (1996),1,015:17:40
Mark Shuttleworth,South Africa,Man,Soyuz TM-34 (2002),1,009:21:25
Marcos Pontes,Brazil,Man,Soyuz TMA-8 (2006),1,009:21:18
Marc Garneau,Canada,Man,"STS-41-G (1984), STS-77 (1996), STS-97 (2000)",3,029:02:00
Mamoru Mohri,Japan,Man,"STS-47 (1992), STS-99 (2000)",2,019:04:10
Maksim Surayev,Russia,Man,"Soyuz TMA-16 (2009), Soyuz TMA-13M (2014)",2,334:12:09
"Léopold Eyharts, EAC",France,Man,"Soyuz TM-27 (1998), STS-122 (2008)",2,068:21:32
Luca Parmitano,Italy,Man,"Soyuz TMA-09M (2013), Soyuz MS-13 (2019)",2,366:16:42
Liu Yang,China,Woman,Shenzhou 9 (2012),1,012:15:23
Liu Wang,China,Man,Shenzhou 9 (2012),1,012:15:23
Liu Boming,China,Man,Shenzhou 7 (2008),1,002:20:26
Lev Dyomin,Soviet Union,Man,Soyuz 15 (1974),1,002:00:12
Leonid Popov,Soviet Union,Man,"Soyuz 35 (1980), Soyuz 40 (1981), Soyuz T-7 (1982)",3,200:14:45
Leonid Kizim,Soviet Union,Man,"Soyuz T-3 (1980), Soyuz T-10 (1984), Soyuz T-15 (1986)",3,374:17:58
Leonid Kadeniuk,Ukraine,Man,STS-87 (1997),1,015:16:34
Konstantin Kozeyev,Russia,Man,Soyuz TM-33 (2001),1,009:20:00
Konstantin Feoktistov,Soviet Union,Man,Voskhod 1 (1964),1,001:00:17
Koichi Wakata,Japan,Man,"STS-72 (1996), STS-92 (2000), STS-119 (2009), Soyuz TMA-11M (2013)",4,347:08:32
Klaus-Dietrich Flade,Germany,Man,Soyuz TM-13 (1991),1,175:02:51
Kimiya Yui,Japan,Man,Soyuz TMA-17M (2015),1,141:16:09
Jügderdemidiin Gürragchaa,Mongolia,Man,Soyuz 39 (1981),1,007:20:42
Julie Payette,Canada,Woman,"STS-96 (1999), STS-127 (2009)",2,025:07:58
Jing Haipeng,China,Man,"Shenzhou 7 (2008), Shenzhou 9 (2012), Shenzhou 11 (2016)",3,047:18:19
"Jean-Pierre Haigneré, EAC",France,Man,"Soyuz TM-17 (1993), Soyuz TM-29 (1999)",2,209:12:25
Jean-Loup Chrétien,France,Man,"Soyuz T-6 (1982), Soyuz TM-7 (1988), STS-86 (1997)",3,044:11:18
Jean-Jacques Favier,France,Man,STS-78 (1996),1,016:21:48
"Jean-François Clervoy, EAC",France,Man,"STS-66 (1994), STS-84 (1997), STS-103 (1999)",3,029:02:05
Ivan Vagner,Russia,Man,Soyuz MS-16 (2020),1,195:18:49
Ivan Bella,Slovakia,Man,Soyuz TM-29 (1999),1,007:21:56
Ilan Ramon,Israel,Man,STS-107 (2003),1,015:22:20
Igor Volk,Soviet Union,Man,Soyuz T-12 (1984),1,011:19:14
Helen Sharman,United Kingdom,Woman,Soyuz TM-12 (1991),1,007:21:13
Hazza Al Mansouri,United Arab Emirates,Man,Soyuz MS-15 (2019),1,007:21:01
Hans Schlegel,Germany,Man,"STS-55 (1993), STS-122 (2008)",2,022:18:02
Guy Laliberté,Canada,Man,Soyuz TMA-16 (2009),1,010:21:17
Gherman Titov,Soviet Union,Man,Vostok 2 (1961),1,001:01:18
Gerhard Thiele,Germany,Man,STS-99 (2000),1,011:05:40
Georgi Shonin,Soviet Union,Man,Soyuz 6 (1969),1,004:22:42
Georgi Ivanov,Bulgaria,Man,Soyuz 33 (1979),1,001:23:01
Georgi Grechko,Soviet Union,Man,"Soyuz 17 (1975), Soyuz 26 (1977), Soyuz T-14 (1985)",3,134:20:32
Georgi Dobrovolski,Soviet Union,Man,Soyuz 11 (1971),1,023:21:21
Georgi Beregovoi,Soviet Union,Man,Soyuz 3 (1968),1,003:22:50
Gennady Strekalov,Soviet Union,Man,"Soyuz T-3 (1980), Soyuz T-8 (1983), Soyuz T-11 (1984), Soyuz TM-10 (1990), Soyuz TM-21 (1995)",5,268:22:26
Gennady Padalka,Russia,Man,"Soyuz TM-28 (1998), Soyuz TMA-4 (2004), Soyuz TMA-14 (2009), Soyuz TMA-04M (2012), Soyuz TMA-16M (2015)",5,878:11:29
Gennadi Sarafanov,Soviet Union,Man,Soyuz 15 (1974),1,002:00:12
Gennadi Manakov,Russia,Man,"Soyuz TM-10 (1990), Soyuz TM-16 (1993)",2,309:21:19
Fyodor Yurchikhin,Russia,Man,"STS-112 (2002), Soyuz TMA-10 (2007), Soyuz TMA-19 (2010), Soyuz TMA-09M (2013), Soyuz MS-04 (2017)",5,672:20:40
Franz Viehböck,Austria,Man,Soyuz TM-13 (1991),1,007:22:12
Frank De Winne,Belgium,Man,"Soyuz TMA-1 (2002), Soyuz TMA-15 (2009)",2,198:17:35
Franco Malerba,Italy,Man,STS-46 (1992),1,007:23:15
Fei Junlong,China,Man,Shenzhou 6 (2005),1,004:19:32
Evgeny Tarelkin,Russia,Man,Soyuz TMA-06M (2012),1,143:16:19
Ernst Messerschmid,Germany,Man,STS-61-A (1985),1,007:00:44
Dumitru Prunariu,Romania,Man,Soyuz 40 (1981),1,007:20:41
Dmitri Kondratyev,Russia,Man,Soyuz TMA-20 (2010),1,159:07:18
Dirk Frimout,Belgium,Man,STS-45 (1992),1,008:22:09
David Saint-Jacques,Canada,Man,Soyuz MS-11 (2018),1,203:15:16
"Dafydd Williams, M.D.",Canada,Man,"STS-90 (1998), STS-118 (2007)",2,028:15:46
"Claudie Haigneré, EAC",France,Woman,"Soyuz TM-24 (1996), Soyuz TM-33 (2001)",2,025:14:24
Claude Nicollier,Switzerland,Man,"STS-46 (1992), STS-61 (1993), STS-75 (1996), STS-103 (1999)",4,043:12:05
Christer Fuglesang,Sweden,Man,"STS-116 (2006), STS-128 (2009)",2,026:17:38
Chris Hadfield,Canada,Man,"STS-74 (1995), STS-100 (2001), Soyuz TMA-07M (2012)",3,165:16:20
"Chiaki Mukai, M.D.",Japan,Woman,"STS-65 (1994), STS-95 (1998)",2,023:15:39
Chen Dong,China,Man,Shenzhou 11 (2016),1,032:06:29
Charles Simonyi,Hungary,Man,"Soyuz TMA-10 (2007), Soyuz TMA-14 (2009)",2,026:14:26
Carlos I. Noriega,Peru,Man,"STS-84 (1997), STS-97 (2000)",2,020:00:17
"Boris Yegorov, M.D.",Soviet Union,Man,Voskhod 1 (1964),1,001:00:17
Boris Volynov,Soviet Union,Man,"Soyuz 5 (1969), Soyuz 21 (1976)",2,052:07:17
Boris Morukov,Russia,Man,STS-106 (2000),1,010:19:10
Bjarni Tryggvason,Canada,Man,STS-85 (1997),1,011:20:27
Bertalan Farkas,Hungary,Man,Soyuz 36 (1980),1,007:20:45
Aydyn Aimbetov,Kazakhstan,Man,Soyuz TMA-18M (2015),1,181:23:47
Arnaldo Tamayo Méndez,Cuba,Man,Soyuz 38 (1980),1,007:20:43
Anton Shkaplerov,Russia,Man,"Soyuz TMA-22 (2011), Soyuz TMA-15M (2014), Soyuz MS-07 (2017)",3,533:05:31
Anousheh Ansari,Iran,Woman,Soyuz TMA-9 (2006),1,010:21:05
André Kuipers,Netherlands,Man,"Soyuz TMA-4 (2004), Soyuz TMA-03M (2011)",2,203:15:50
Andriyan Nikolayev,Soviet Union,Man,"Vostok 3 (1962), Soyuz 9 (1970)",2,021:15:26
Andrei Borisenko,Russia,Man,"Soyuz TMA-21 (2011), Soyuz MS-02 (2016)",2,337:08:56
Andreas Mogensen,Denmark,Man,Soyuz TMA-18M (2015),1,181:23:47
Anatoly Solovyev,Russia,Man,"Soyuz TM-5 (1988), Soyuz TM-9 (1990), Soyuz TM-15 (1992), STS-71 (1995), Soyuz TM-26 (1997)",5,651:00:03
Anatoly Filipchenko,Soviet Union,Man,"Soyuz 7 (1969), Soyuz 16 (1974)",2,010:21:03
Anatoly Artsebarsky,Soviet Union,Man,Soyuz TM-12 (1991),1,144:15:21
Anatoli Levchenko,Soviet Union,Man,Soyuz TM-4 (1987),1,007:21:58
Anatoli Ivanishin,Russia,Man,"Soyuz TMA-22 (2011), Soyuz MS-01 (2016), Soyuz MS-16 (2020)",3,476:04:42
Anatoli Berezovoy,Soviet Union,Man,Soyuz T-5 (1982),1,211:09:04
Alexander Volkov,Soviet Union,Man,"Soyuz T-14 (1985), Soyuz TM-7 (1988), Soyuz TM-13 (1991)",3,391:11:52
Alexander Viktorenko,Soviet Union,Man,"Soyuz TM-3 (1987), Soyuz TM-8 (1989), Soyuz TM-14 (1992), Soyuz TM-20 (1994)",4,489:01:35
Alexander Poleshchuk,Russia,Man,Soyuz TM-16 (1993),1,179:00:43
Alexander Kaleri,Russia,Man,"Soyuz TM-14 (1992), Soyuz TM-24 (1996), Soyuz TM-30 (2000), Soyuz TMA-3 (2003), Soyuz TMA-01M (2010)",5,769:06:35
Alexander Gerst,Germany,Man,"Soyuz TMA-13M (2014), Soyuz MS-09 (2018)",2,361:20:43
Aleksey Ovchinin,Russia,Man,"Soyuz TMA-20M (2016), Soyuz MS-12 (2019)",2,374:19:31
Aleksei Yeliseyev,Soviet Union,Man,"Soyuz 5 (1969), Soyuz 8 (1969), Soyuz 10 (1971)",3,008:22:22
Aleksei Leonov,Soviet Union,Man,"Voskhod 2 (1965), Soyuz 19 (1975)",2,007:00:32
Aleksei Gubarev,Soviet Union,Man,"Soyuz 17 (1975), Soyuz 28 (1978)",2,037:11:35
Aleksandr Skvortsov,Russia,Man,"Soyuz TMA-18 (2010), Soyuz TMA-12M (2014), Soyuz MS-13 (2019)",3,545:16:49
Aleksandr Serebrov,Soviet Union,Man,"Soyuz T-7 (1982), Soyuz T-8 (1983), Soyuz TM-8 (1989), Soyuz TM-17 (1993)",4,372:22:53
Aleksandr Samokutyayev,Russia,Man,"Soyuz TMA-21 (2011), Soyuz TMA-14M (2014)",2,331:11:23
Aleksandr Pavlovich Aleksandrov,Soviet Union,Man,"Soyuz T-9 (1983), Soyuz TM-3 (1987)",2,309:18:02
Aleksandr Misurkin,Russia,Man,"Soyuz TMA-08M (2013), Soyuz MS-06 (2017)",2,333:11:28
Aleksandr Lazutkin,Russia,Man,Soyuz TM-25 (1997),1,184:22:07
Aleksandr Laveykin,Soviet Union,Man,Soyuz TM-2 (1987),1,174:03:25
Aleksandr Ivanchenkov,Soviet Union,Man,Soyuz 29 (1978),1,139:14:47
Aleksandr Balandin,Soviet Union,Man,Soyuz TM-9 (1990),1,179:01:17
Aleksandar Panayotov Aleksandrov,Bulgaria,Man,Soyuz TM-5 (1988),1,091:10:46
Akihiko Hoshide,Japan,Man,"STS-124 (2008), Soyuz TMA-05M (2012), SpaceX Crew-2 (2021)",3,1752:00:14
Abdul Ahad Mohmand,Afghanistan,Man,Soyuz TM-6 (1988),1,008:20:26
