Name,Country,Gender,Flights,Total Flights,Total Flight Time (ddd:hh:mm),Year,Group,Status,Birth Date,Birth Place,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Alan Bean,United States,Man,"Apollo 12 (1969), Skylab 3 (1973)",2,069:15:45,1963.0,3.0,Retired,3/15/1932,Texas,University of Texas,Aeronautical Engineering,0,Captain,US Navy (Retired),2,1671,3,10.0,"Apollo 12, Skylab 3",0,0
Alan G. Poindexter,United States,Man,"STS-122 (2008), STS-131 (2010)",2,027:21:09,1998.0,17.0,Deceased,11/5/1961,California,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0.0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,0
Alfred Worden,United States,Man,Apollo 15 (1971),1,012:07:11,1966.0,5.0,Retired,2/7/1932,Michigan,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,0,0
Andrew J. Feustel,United States,Man,"STS-125 (2009), STS-134 (2011), Soyuz MS-08 (2018)",3,224:09:15,2000.0,18.0,Active,8/25/1965,Pennsylvania,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,0,0,2,687,6,42.0,"STS-125 (Atlantis), STS-134 (Endeavor)",0,0
Andrew M. Allen,United States,Man,"STS-46 (1992), STS-62 (1994), STS-75 (1996)",3,037:16:13,1987.0,12.0,Retired,8/4/1955,Pennsylvania,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0.0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)",0,0
Andrew Thomas,United States,Man,"STS-77 (1996), STS-89 (1998), STS-102 (2001), STS-114 (2005)",4,177:09:14,1992.0,14.0,Management,12/18/1951,Australia,University of Adelaide,Mechanical Engineering,Mechanical Engineering,0,0,4,4257,1,6.0,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",0,0
Anthony W. England,United States,Man,STS-51-F (1985),1,007:22:45,1967.0,6.0,Retired,5/15/1942,Indiana,MIT,Geology,Geology; Geophysics,0,0,1,190,0,0.0,STS 51-F (Challenger),0,0
Barbara Morgan,United States,Woman,STS-118 (2007),1,012:17:56,1998.0,17.0,Retired,11/28/1951,California,Stanford University,Human Biology,0,0,0,1,305,0,0.0,STS-118 (Endeavor),0,0
Barry Wilmore,United States,Man,"STS-129 (2009), Soyuz TMA-14M (2014)",2,178:00:58,2000.0,18.0,Active,12/29/1962,Tennessee,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",0,0
"Bernard A. Harris, Jr.",United States,Man,"STS-55 (1993), STS-63 (1995)",2,018:06:08,1990.0,13.0,Retired,6/26/1956,Texas,University of Houston; Texas Tech University,Biology,Medicine,0,0,2,438,1,5.0,"STS-55 (Columbia), STS-63 (Discovery)",0,0
Bonnie J. Dunbar,United States,Woman,"STS-61-A (1985), STS-32 (1990), STS-50 (1992), STS-71 (1995), STS-89 (1998)",5,050:08:26,1980.0,9.0,Retired,3/3/1949,Washington,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,0,0,5,1207,0,0.0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",0,0
Brian Duffy,United States,Man,"STS-45 (1992), STS-57 (1993), STS-72 (1996), STS-92 (2000)",4,040:17:37,1985.0,11.0,Retired,6/20/1953,Massachusetts,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0.0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",0,0
Bruce McCandless II,United States,Man,"STS-41-B (1984), STS-31 (1990)",2,013:00:32,1966.0,5.0,Retired,6/8/1937,Massachusetts,US Naval Academy; Stanford University; University of Houston-Clear Lake,0,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12.0,"STS 41-B (Challenger), STS-31 (Discovery)",0,0
Bruce Melnick,United States,Man,"STS-41 (1990), STS-49 (1992)",2,013:01:27,1987.0,12.0,Retired,12/5/1949,New York,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0.0,"STS-41 (Discovery), STS-49 (Endeavor)",0,0
Bryan O'Connor,United States,Man,"STS-61-B (1985), STS-40 (1991)",2,015:23:19,1980.0,9.0,Retired,9/6/1946,California,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0.0,"STS 61-B (Atlantis), STS-40 (Columbia)",0,0
Buzz Aldrin,United States,Man,"Gemini 12 (1966), Apollo 11 (1969)",2,012:01:53,1963.0,3.0,Retired,1/20/1930,New Jersey,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8.0,"Gemini 12, Apollo 11",0,0
Byron Lichtenberg,United States,Man,"STS-9 (1983), STS-45 (1992)",2,019:04:56,0.0,0.0,Retired,2/19/1948,Pennsylvania,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,0,0,2,461,0,0.0,"STS-9 (Columbia), STS-45 (Atlantis)",0,0
Carl Meade,United States,Man,"STS-38 (1990), STS-50 (1992), STS-64 (1994)",3,029:16:14,1985.0,11.0,Retired,11/16/1950,Illinois,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6.0,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",0,0
Carl Walz,United States,Man,"STS-51 (1993), STS-65 (1994), STS-79 (1996), STS-108 (2001)",4,230:13:03,1990.0,13.0,Retired,9/6/1955,Ohio,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19.0,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",0,0
Carlos I. Noriega,Peru,Man,"STS-84 (1997), STS-97 (2000)",2,020:00:17,1995.0,15.0,Retired,10/8/1959,Peru,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19.0,"STS-84 (Atlantis), STS-97 (Endeavor)",0,0
Catherine Coleman,United States,Woman,"STS-73 (1995), STS-93 (1999), Soyuz TMA-20 (2010)",3,180:03:59,1992.0,14.0,Active,12/14/1960,South Carolina,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0.0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",0,0
Charles Camarda,United States,Man,STS-114 (2005),1,013:21:32,1996.0,16.0,Management,5/8/1952,New York,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,0,0,1,333,0,0.0,STS-114 (Discovery),0,0
Charles D. Walker,United States,Man,"STS-41-D (1984), STS-51-D (1985), STS-61-B (1985)",3,019:21:56,0.0,0.0,Retired,8/29/1948,Indiana,Purdue University,Aeronautical & Astronautical Engineering,0,0,0,3,477,0,0.0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",0,0
Charles Gemar,United States,Man,"STS-38 (1990), STS-48 (1991), STS-62 (1994)",3,024:05:39,1985.0,11.0,Retired,8/4/1955,South Dakota,US Military Academy,Engineering,0,Lieutenant Colonel,US Army,3,581,0,0.0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",0,0
Charles Hobaugh,United States,Man,"STS-104 (2001), STS-108 (2001), STS-129 (2009)",3,035:09:26,1996.0,16.0,Retired,11/5/1961,Maine,US Naval Academy,Aerospace Engineering,0,Colonel,US Marine Corps (Retired),3,873,0,0.0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",0,0
Charles Precourt,United States,Man,"STS-55 (1993), STS-71 (1995), STS-84 (1997), STS-91 (1998)",4,038:19:16,1990.0,13.0,Retired,6/29/1955,Massachusetts,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0.0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",0,0
Charles Veach,United States,Man,"STS-39 (1991), STS-52 (1992)",2,018:02:22,1984.0,10.0,Deceased,9/18/1944,Illinois,US Air Force Academy,Engineering Management,0,0,0,2,436,0,0.0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,0
Christopher Cassidy,United States,Man,"STS-127 (2009), Soyuz TMA-08M (2013), Soyuz MS-16 (2020)",3,377:17:48,2004.0,19.0,Active,1/4/1970,Massachusetts,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31.0,STS-127 (Endeavor); ISS-35/36 (Soyuz),0,0
Christopher Ferguson,United States,Man,"STS-115 (2006), STS-126 (2008), STS-135 (2011)",3,040:10:04,1998.0,17.0,Retired,9/1/1961,Pennsylvania,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0.0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-135 (Atlantis)",0,0
Clayton Anderson,United States,Man,"STS-117 (2007), STS-131 (2010)",2,166:21:10,1998.0,17.0,Retired,2/23/1959,Nebraska,Hastings College; Iowa State University,Physics,Aerospace Engineering,0,0,2,4005,6,38.0,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",0,0
Dale Gardner,United States,Man,"STS-8 (1983), STS-51-A (1984)",2,014:00:53,1978.0,8.0,Retired,11/8/1948,Minnesota,University of Illinois,Engineering Physics,0,Captain,US Navy (Retired),2,336,2,12.0,"STS-8 (Challenger), STS 51-A (Discovery)",0,0
Daniel Barry,United States,Man,"STS-72 (1996), STS-96 (1999), STS-105 (2001)",3,030:10:26,1992.0,14.0,Retired,12/30/1953,Connecticut,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,0,0,3,733,4,26.0,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",0,0
Daniel Brandenstein,United States,Man,"STS-8 (1983), STS-51-G (1985), STS-32 (1990), STS-49 (1992)",4,032:23:05,1978.0,8.0,Retired,1/17/1943,Wisconsin,University of Wisconsin,Mathematics & Physics,0,Captain,US Navy (Retired),4,789,0,0.0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",0,0
Daniel Burbank,United States,Man,"STS-106 (2000), STS-115 (2006), Soyuz TMA-22 (2011)",3,187:21:47,1996.0,16.0,Active,7/27/1961,Connecticut,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7.0,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",0,0
Daniel Bursch,United States,Man,"STS-51 (1993), STS-68 (1994), STS-77 (1996), STS-108 (2001)",4,226:22:15,1990.0,13.0,Retired,7/25/1957,Pennsylvania,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12.0,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",0,0
Daniel Tani,United States,Man,"STS-108 (2001), STS-120 (2007)",2,131:18:05,1996.0,16.0,Retired,2/1/1961,Pennsylvania,MIT,Mechanical Engineering,Mechanical Engineering,0,0,2,3162,6,39.0,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",0,0
David Hilmers,United States,Man,"STS-51-J (1985), STS-26 (1988), STS-36 (1990), STS-42 (1992)",4,020:14:17,1980.0,9.0,Retired,1/28/1950,Iowa,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0.0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",0,0
David Leestma,United States,Man,"STS-41-G (1984), STS-28 (1989), STS-45 (1992)",3,022:04:33,1980.0,9.0,Management,5/6/1949,Michigan,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3.0,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",0,0
David M. Brown,United States,Man,STS-107 (2003),1,015:22:20,1996.0,16.0,Deceased,4/16/1956,Virginia,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0.0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
David M. Walker,United States,Man,"STS-51-A (1984), STS-30 (1989), STS-53 (1992), STS-69 (1995)",4,030:04:30,1978.0,8.0,Deceased,5/20/1944,Georgia,US Naval Academy,Naval Sciences,0,Captain,US Navy (Retired),4,724,0,0.0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,0
David Scott,United States,Man,"Gemini 8 (1966), Apollo 9 (1969), Apollo 15 (1971)",3,022:18:54,1963.0,3.0,Retired,6/6/1932,Texas,US Military Academy; MIT,0,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19.0,"Gemini 8, Apollo 9, Apollo 15",0,0
Dominic A. Antonelli,United States,Man,"STS-119 (2009), STS-132 (2010)",2,024:13:59,2000.0,18.0,Active,8/23/1967,Michigan,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0.0,"STS-119 (Discovery), STS-132 (Atlantis)",0,0
Dominic Gorie,United States,Man,"STS-91 (1998), STS-99 (2000), STS-108 (2001), STS-123 (2008)",4,048:15:23,1995.0,15.0,Retired,5/2/1957,Louisiana,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0.0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",0,0
Don Lind,United States,Man,STS-51-B (1985),1,007:00:08,1966.0,5.0,Retired,5/18/1930,Utah,University of Utah; University of California-Berkley,Physics,Nuclear Physics,0,0,1,168,0,0.0,STS 51-B (Challenger),0,0
"Donald ""Deke"" Slayton",United States,Man,Apollo-Soyuz Test Project (1975),1,009:01:28,1959.0,1.0,Deceased,3/1/1924,Wisconsin,University of Minnesota,Aeronautical Engineering,0,Major,US Air Force Reserves,1,217,0,0.0,Apollo-Soyuz Test Project,6/13/1993,0
Donald McMonagle,United States,Man,"STS-39 (1991), STS-54 (1993), STS-66 (1994)",3,025:05:34,1987.0,12.0,Retired,5/14/1952,Michigan,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0.0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",0,0
Donald Peterson,United States,Man,STS-6 (1983),1,005:00:23,1969.0,7.0,Retired,10/22/1933,Mississippi,US Military Academy; US Air Force Institute of Technology,0,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4.0,STS-6 (Challenger),0,0
Donald Pettit,United States,Man,"STS-113 (2002), STS-126 (2008), Soyuz TMA-03M (2011)",3,370:16:42,1996.0,16.0,Active,4/20/1955,Oregon,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,0,0,3,8872,2,13.0,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",0,0
Donald Thomas,United States,Man,"STS-65 (1994), STS-70 (1995), STS-83 (1997), STS-94 (1997)",4,043:08:13,1990.0,13.0,Retired,5/6/1955,Ohio,Case Western Reserve University; Cornell University,Physics,Materials Science,0,0,4,1040,0,0.0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",0,0
Donald Williams,United States,Man,"STS-51-D (1985), STS-34 (1989)",2,011:23:34,1978.0,8.0,Retired,2/13/1958,Indiana,Purdue University,Mechanical Engineering,0,Captain,US Navy (Retired),2,287,0,0.0,"STS 51-D (Discovery), STS-34 (Atlantis)",0,0
Donn F. Eisele,United States,Man,Apollo 7 (1968),1,010:20:09,1963.0,3.0,Deceased,5/23/1930,Ohio,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0.0,Apollo 7,12/2/1987,0
Douglas G. Hurley,United States,Man,"STS-127 (2009), STS-135 (2011), Crew Dragon Demo-2 (2020)",3,092:10:38,2000.0,18.0,Active,10/21/1966,New York,Tulane University,Civil Engineering,0,Colonel,US Marine Corps,2,683,0,0.0,"STS-127 (Endeavor), STS-135 (Atlantis)",0,0
Douglas Wheelock,United States,Man,"STS-120 (2007), Soyuz TMA-19 (2010)",2,178:09:33,1998.0,17.0,Active,5/5/1960,New York,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43.0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",0,0
Duane G. Carey,United States,Man,STS-109 (2002),1,010:22:11,1996.0,16.0,Retired,4/30/1957,Minnesota,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0.0,STS-109 (Columbia),0,0
Edgar Mitchell,United States,Man,Apollo 14 (1971),1,009:00:01,1966.0,5.0,Retired,9/17/1930,Texas,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9.0,Apollo 14,0,0
Edward Gibson,United States,Man,Skylab 4 (1973),1,084:01:15,1965.0,4.0,Retired,11/8/1936,New York,University of Rochester; California Institute of Technology,Engineering,Engineering,0,0,1,2017,3,15.0,Skylab 4,0,0
Edward Lu,United States,Man,"STS-84 (1997), STS-106 (2000), Soyuz TMA-2 (2003)",3,204:22:16,1995.0,15.0,Retired,7/1/1963,Massachusetts,Cornell University; Stanford University,Electrical Engineering,Applied Physics,0,0,3,4962,1,6.0,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",0,0
Eileen Collins,United States,Woman,"STS-63 (1995), STS-84 (1997), STS-93 (1999), STS-114 (2005)",4,036:07:10,1990.0,13.0,Retired,11/19/1959,New York,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0.0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",0,0
Ellen Ochoa,United States,Woman,"STS-56 (1993), STS-66 (1994), STS-96 (1999), STS-110 (2002)",4,040:15:38,1990.0,13.0,Management,5/10/1958,California,San Diego State University; Stanford University,Physics,Electrical Engineering,0,0,4,979,0,0.0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",0,0
Ellison Onizuka,United States,Man,STS-51-C (1985),1,003:01:33,1978.0,8.0,Deceased,6/24/1946,Hawaii,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0.0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Eric A. Boe,United States,Man,"STS-126 (2008), STS-133 (2011)",2,028:15:34,2000.0,18.0,Active,10/1/1964,Florida,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0.0,"STS-126 (Endeavor), STS-133 (Discovery)",0,0
Eugene Cernan,United States,Man,"Gemini 9A (1966), Apollo 10 (1969), Apollo 17 (1972)",3,023:14:16,1963.0,3.0,Retired,3/14/1934,Illinois,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24.0,"Gemini 9, Apollo 10, Apollo 17",0,0
Frank Borman,United States,Man,"Gemini 7 (1965), Apollo 8 (1968)",2,019:21:35,1962.0,2.0,Retired,3/14/1928,Indiana,US Military Academy; California Institute of Technology,0,Aeronautical Engineering,Colonel,US Air Force (Retired),2,477,0,0.0,"Gemini 7, Apollo 8",0,0
"Frank L. Culbertson, Jr.",United States,Man,"STS-38 (1990), STS-51 (1993), STS-105 (2001)",3,143:14:51,1984.0,10.0,Retired,5/15/1949,South Carolina,US Naval Academy,Aerospace Engineering,0,Captain,US Navy (Retired),3,3446,1,5.0,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",0,0
Franklin Chang-Diaz,United States,Man,"STS-61-C (1986), STS-34 (1989), STS-46 (1992), STS-60 (1994), STS-75 (1996), STS-91 (1998), STS-111 (2002)",7,066:18:17,1980.0,9.0,Retired,4/5/1950,Costa Rica,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,0,0,7,1602,3,19.0,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",0,0
Frederick Gregory,United States,Man,"STS-51-B (1985), STS-33 (1989), STS-44 (1991)",3,018:23:05,1978.0,8.0,Retired,1/7/1941,District of Columbia,US Air Force Academy; George Washington University,0,Information Systems,Colonel,US Air Force (Retired),3,455,0,0.0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",0,0
Frederick Hauck,United States,Man,"STS-7 (1983), STS-51-A (1984), STS-26 (1988)",3,018:03:09,1978.0,8.0,Retired,4/11/1941,California,Tufts University; MIT,Physics,Nuclear Engineering,Captain,US Navy (Retired),3,435,0,0.0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",0,0
